商品コード,法人名,商品名,型番,全国平均貸与価格（円）,貸与価格の上限（円）
00055-000204,矢崎化工株式会社,たちあっぷⅡ,CKH-21,4878,5510
00055-000207,矢崎化工株式会社,たちあっぷⅡ,CKA-24,2928,3260
00055-000210,矢崎化工株式会社,ベッドでとまるくん,CKA-CA,513,560
00055-000211,矢崎化工株式会社,ベッドでとまるくん,CKA-CK,496,570
00055-000212,矢崎化工株式会社,ベッドでとまるくん,CGA-CA,502,510
00055-000285,矢崎化工株式会社,つながるくんXP,CKH-D90,2019,2440
00055-000286,矢崎化工株式会社,つながるくんXPロング,CKH-D125,2078,2500
00055-000288,矢崎化工株式会社,たちあっぷⅡ　つながるくんXPロング付,CKH-21 つながるくんXPロング付,6468,7260
00055-000289,矢崎化工株式会社,たちあっぷⅡ,CKA-31,4108,4340
00055-000290,矢崎化工株式会社,たちあっぷⅡ　たててすり,CKI-31,4884,5450
00055-Z00002,矢崎化工株式会社,イレクター歩行器１,,2229,2650
00055-Z00004,矢崎化工株式会社,たちあっぷ５４０ステップ台,ＣＫＨ－ＢＬ,968,1210
00055-Z00007,矢崎化工株式会社,たちあっぷ５４０ステップ台,ＣＫＨ－ＢＨ,1094,1440
00055-Z00008,矢崎化工株式会社,あがりかまち　ステップ台,ＣＫＥ－Ｂ　ＭＢ,909,1350
00055-Z00009,矢崎化工株式会社,たちあっぷ５４０両手すりステップ台２段,ＣＫＨ－０１－２,9778,10870
00055-Z00010,矢崎化工株式会社,たちあっぷ５４０両手すりステップ台１段,ＣＫＨ－０１－１,9450,10430
00055-Z00011,矢崎化工株式会社,たちあっぷ５４０片手すりステップ台１段,ＣＫＨ－０２－１,7462,8330
00055-Z00012,矢崎化工株式会社,たちあっぷ５４０片手すりステップ台２段,ＣＫＨ－０２－２,8097,9160
00055-Z00016,矢崎化工株式会社,たちあっぷＦＢ－０２　ＣＫＡ－０２（ベットでとまるくんⅡ／かいじょくん付）,,2618,2670
00055-Z00017,矢崎化工株式会社,たちあっぷＦＢ－０２Ｎ　ＣＫＡ－０５ＦＢ（ベットでとまるくんⅡ付）,,2059,2080
00055-Z00018,矢崎化工株式会社,たちあっぷＦＢ－０２Ｎ　ＣＫＡ－０５ＦＢ,,2057,2090
00055-Z00019,矢崎化工株式会社,たちあっぷＦＢ－０３　ＣＫＡ－０６ＦＢ（ベットでとまるくんⅡ付）,,2595,2650
00055-Z00020,矢崎化工株式会社,たちあっぷＦＢ－０３Ｎ　ＣＫＡ－０６ＦＢ,,2588,2670
00055-Z00021,矢崎化工株式会社,たちあっぷＦＢ－０４　ＣＫＡ－０７ＦＢ（ベットでとまるくんⅡ付）,,2056,2080
00055-Z00022,矢崎化工株式会社,たちあっぷＦＢ－０４Ｎ　ＣＫＡ－０７ＦＢ,,2060,2080
00055-Z00037,矢崎化工株式会社,たちあっぷＣＫＡ－０２　おもしくん２個付,,3112,3370
00057-000003,コスモ株式会社,折りたたみ式歩行器,CFN-2021,2095,2480
00057-000012,コスモ株式会社,スイングキャスター付コンパクト歩行器,CFN-2021-CMR,1063,1290
00061-000002,株式会社看護用品研究所,車イス用 あんしんベルト,,893,1100
00063-000003,ウィズワン株式会社,ヘルシーワンT-R,5001,2380,2910
00063-000019,ウィズワン株式会社,ピウプレスト 75,,3103,3330
00063-000020,ウィズワン株式会社,ヘルシーワン W-R ７５,,2657,3140
00063-000024,ウィズワン株式会社,ヘルシーワン　キャンシット,,3289,3760
00063-000025,ウィズワン株式会社,ヘルシーワン Ｔ－Ｒ,,2908,3270
00063-000026,ウィズワン株式会社,ヘルシーワンT-R75,,2907,3260
00063-000027,ウィズワン株式会社,ピウプレスト75W,,3307,3670
00063-000028,ウィズワン株式会社,ヘルシーワン T-R 298N,,2860,3260
00063-000029,ウィズワン株式会社,ヘルシーワンキャンシット75,,3306,3660
00063-000031,ウィズワン株式会社,ヘルシーワンライト,,2892,3210
00063-000032,ウィズワン株式会社,ヘルシーワンライト　カラフル,,2679,3090
00063-000033,ウィズワン株式会社,ヘルシーワンキャンシットLG,,3221,3500
00063-000034,ウィズワン株式会社,ヘルシーワンライトG,H1LG-TBL/BR,2914,3240
00063-000035,ウィズワン株式会社,ヘルシーワンライトカラフルG,H1CG-FBL/FPK/FNB,2929,3250
00063-000036,ウィズワン株式会社,ヘルシーワン　Lグラン,H1LG-PRP/NB,3191,3510
00063-000037,ウィズワン株式会社,ピウプレストマム,PPM-BPN/BOF/MPN/MOF,3152,3440
00063-000038,ウィズワン株式会社,ヘルシーワンW,H1W-SF/PV/NGY/NB/HBK/HIB/HCB,3109,3330
00063-000039,ウィズワン株式会社,ヘルシーワンレジェール,H1LR-PZ/H1LR-TR/H1LR-BG,3066,3290
00063-000040,ウィズワン株式会社,ヘルシーワンW　プリマ・ドンナ,H1WPD-GYC,3127,3300
00063-000041,ウィズワン株式会社,ヘルシーワン　キャンシット・ヌーボー,H1CSN,3243,3490
00064-000030,株式会社片山車椅子製作所,ＫＡＲＬ(カール)自操型,KW-901,4063,5000
00064-000031,株式会社片山車椅子製作所,ＫＡＲＬ(カール)介助型,KW-903,4048,5030
00064-000032,株式会社片山車椅子製作所,カールⅡ（コンパクト）自走型,KW-801,4529,5290
00064-000033,株式会社片山車椅子製作所,カールⅡ（コンパクト）介助型,KW-803,4490,5500
00066-000004,株式会社松永製作所,フルリクライニング１型,,9559,10590
00066-000028,株式会社松永製作所,介護型車いす,F-11,4682,5540
00066-000030,株式会社松永製作所,自走式車いす,F-2,5071,5340
00066-000040,株式会社松永製作所,介護型車いす,MW-15F,3653,4700
00066-000042,株式会社松永製作所,介護型車いす,MW-14,7599,8210
00066-000069,株式会社松永製作所,四点杖,MS-610,1048,1300
00066-000070,株式会社松永製作所,ロフストランドクラッチ,MS-97B,1145,1450
00066-000097,株式会社松永製作所,介護式車いす,MW-24F,4501,5910
00066-000105,株式会社松永製作所,自操式車いす,MW-34F,6331,7300
00066-000115,株式会社松永製作所,介護型車いす,MW-S15F,4710,5460
00066-000120,株式会社松永製作所,レンタル用車いす春夏秋冬シリーズ,REM-1 自操タイプ,5614,6890
00066-000124,株式会社松永製作所,レンタル用車いす春夏秋冬シリーズ,REM-3,6003,7290
00066-000125,株式会社松永製作所,レンタル用車いす春夏秋冬シリーズ,REM-4,4733,6410
00066-000126,株式会社松永製作所,レンタル用車いす春夏秋冬シリーズ,REM-5,4890,6620
00066-000127,株式会社松永製作所,レンタル用車いす春夏秋冬シリーズ,REM-6,5682,6630
00066-000129,株式会社松永製作所,レンタル用車いす春夏秋冬シリーズ,REM-8,1909,2340
00066-000149,株式会社松永製作所,歩行器らくらくウォーカーホップステップ（６輪仕様）,SM-35,3688,4230
00066-000150,株式会社松永製作所,歩行器らくらくウォーカーホップステップ（６輪仕様）,SM-40,3796,4230
00066-000154,株式会社松永製作所,室内用 自走式6輪車いす,TT-01,6720,7440
00066-000172,株式会社松永製作所,ティルトリクライニング車いす,MH-4R,9226,10260
00066-000179,株式会社松永製作所,フルモジュール 自走式車いす,REM-1000(自走),7144,7830
00066-000181,株式会社松永製作所,超軽量 介助式車いす,MW-SL2,4313,5100
00066-000182,株式会社松永製作所,超軽量 自走式車いす,MW-SL1,4508,5210
00066-000184,株式会社松永製作所,介助式 車いす,MW-15SA,3993,4080
00066-000185,株式会社松永製作所,介助式 車いす,AR-600,3910,4640
00066-000186,株式会社松永製作所,自走式 車いす,AR-500,3793,4540
00066-000189,株式会社松永製作所,自走式 車いす,AR-200B,3006,3370
00066-000190,株式会社松永製作所,介助式 車いす,AR-300,2873,3360
00066-000193,株式会社松永製作所,ロフストランドクラッチ(S),CMS-60S,1089,1330
00066-000194,株式会社松永製作所,ロフストランドクラッチ(L),CMS-60L,1126,1370
00066-000201,株式会社松永製作所,安全ベルト ワンタッチプラスチック式,,443,560
00066-000205,株式会社松永製作所,テーブルマジック式セット,,1040,1170
00066-000210,株式会社松永製作所,ボンベ架セット,,944,1140
00066-000211,株式会社松永製作所,杖入れ(大),,523,640
00066-000212,株式会社松永製作所,杖入れ(小),,438,550
00066-000214,株式会社松永製作所,転倒防止パイプキャスター付,,587,750
00066-000218,株式会社松永製作所,アルミ松葉杖(M),CMS-80M,1130,1390
00066-000220,株式会社松永製作所,四点杖(L),CMS-40L,1130,1340
00066-000221,株式会社松永製作所,四点杖(M),CMS-40M,987,1110
00066-000222,株式会社松永製作所,四点杖(S),CMS-40S,1018,1170
00066-000226,株式会社松永製作所,オアシス（ティルト・リクライニング介助式車いす）,OS-12TR,8542,9230
00066-000232,株式会社松永製作所,セミモジュール自走式車いす,AR-900(自走),5262,6290
00066-000233,株式会社松永製作所,セミモジュール介助式車いす,AR-900(介助),5216,6220
00066-000235,株式会社松永製作所,超軽量多機能型自走式車いす,MW-SL3,5576,6230
00066-000236,株式会社松永製作所,超軽量多機能型介助式車いす,MW-SL4,5652,6600
00066-000237,株式会社松永製作所,超軽量・超低床多機能型自走式車いす,MW-SL5,5559,6200
00066-000238,株式会社松永製作所,超軽量・超低床多機能型介助式車いす,MW-SL6,5805,6330
00066-000239,株式会社松永製作所,超軽量自走式車いす,MW-SL1B,4429,5310
00066-000240,株式会社松永製作所,超軽量介助型車いす,MW-SL2B,4375,5210
00066-000241,株式会社松永製作所,超軽量多機能型自走式車いす,MW-SL3B,5449,6380
00066-000242,株式会社松永製作所,超軽量多機能型介助式車いす,MW-SL4B,4025,4880
00066-000243,株式会社松永製作所,超軽量・超低床多機能型自走式車いす,MW-SL5B,5827,6490
00066-000244,株式会社松永製作所,超軽量・超低床多機能型介助式車いす,MW-SL6B,5654,6380
00066-000245,株式会社松永製作所,室内用スリムタイプ車いす,SA-100,5274,6070
00066-000246,株式会社松永製作所,室内用スリムタイプ車いす,SA-110,5029,5870
00066-000250,株式会社松永製作所,フルリクライニング車いす「エスコート」,FR-11R,7653,8390
00066-000251,株式会社松永製作所,横に移動するティルト＆フルリクライニング車いす,FR-31TR,11190,12520
00066-000256,株式会社松永製作所,ＯＬｉｖｅ（オリーブ）,MV-100,2985,3550
00066-000267,株式会社松永製作所,立ち止まり君,立ち止まり君,4628,6290
00066-000268,株式会社松永製作所,自走式車いす,AR-201B,2916,3420
00066-000269,株式会社松永製作所,自走式車いす,AR-211B,3835,4580
00066-000270,株式会社松永製作所,介助型車いす,AR-301,2787,3310
00066-000271,株式会社松永製作所,介助型車いす,AR-311,3463,4200
00066-000272,株式会社松永製作所,多機能型自走式車いす,AR-501,4051,4820
00066-000273,株式会社松永製作所,多機能型介助式車いす,AR-601,3867,4560
00066-000274,株式会社松永製作所,セミモジュール自走式車いす,AR-901(自走),4522,5320
00066-000275,株式会社松永製作所,セミモジュール介助式車いす,AR-901(介助),4350,5120
00066-000278,株式会社松永製作所,AR-280,AR-280,5329,6010
00066-000279,株式会社松永製作所,AR-380,AR-380,5233,6130
00066-000280,株式会社松永製作所,OS-11TRS,OS-11TRS,8311,9510
00066-000281,株式会社松永製作所,OS-12TRS,OS-12TRS,8118,8510
00066-000282,株式会社松永製作所,セミモジュール自走式車いす,REM-101（自走）,5531,7410
00066-000283,株式会社松永製作所,セミモジュール介助式車いす,REM-101（介助）,6602,7620
00066-000284,株式会社松永製作所,軽量ドラムブレーキ付自走式車いす,USL-1B,4431,5200
00066-000285,株式会社松永製作所,軽量ドラムブレーキ付介助式車いす,USL-2B,4307,5070
00066-000287,株式会社松永製作所,超低床・超コンパクトセミモジュール自走式車いす,AR-911S（自走）,5183,5930
00066-000290,株式会社松永製作所,SA-101BY,SA-101BY,8042,8060
00066-000291,株式会社松永製作所,SA-111BY,SA-111BY,7673,9130
00066-000292,株式会社松永製作所,SA-401BY,SA-401BY,7479,9220
00066-000293,株式会社松永製作所,SA-411BY,SA-411BY,4823,8110
00066-000295,株式会社松永製作所,オアシス・ポジティブ（自走）,ＯＳ-11ＴＲＳＰ,8463,9560
00066-000296,株式会社松永製作所,オアシス・ポジティブ（介助）,ＯＳ-12ＴＲＳＰ,8624,9360
00066-000297,株式会社松永製作所,樹脂製フット・レッグサポートユニット,樹脂製スイングアウト＆エレベーティングユニット,1201,1520
00066-000298,株式会社松永製作所,ブレーキ延長棒,ブレーキ延長棒,411,550
00066-000299,株式会社松永製作所,ＭＷ-ＳＬ11Ｂ,ＭＷ-ＳＬ11Ｂ,4693,5320
00066-000300,株式会社松永製作所,ＭＷ-ＳＬ21Ｂ,ＭＷ-ＳＬ21Ｂ,4415,5180
00066-000301,株式会社松永製作所,ＭＷ-ＳＬ31Ｂ,ＭＷ-ＳＬ31Ｂ,4327,5330
00066-000302,株式会社松永製作所,ＭＷ-ＳＬ41Ｂ,ＭＷ-ＳＬ41Ｂ,5187,5980
00066-000303,株式会社松永製作所,室内用スリムタイプ車いす,SA-101B,4869,5810
00066-000307,株式会社松永製作所,マイチルトコンパクト-3D,MH-CR3D,8766,9520
00066-000314,株式会社松永製作所,ECO,ECO-201B,2318,2820
00066-000315,株式会社松永製作所,NEXT　CORE,NEXT-11B,4423,5020
00066-000316,株式会社松永製作所,NEXT　CORE,NEXT-21B,4364,5000
00066-000317,株式会社松永製作所,ECO,ECO-301,2120,2490
00066-000318,株式会社松永製作所,NEXT　CORE,NEXT-31B,5381,5950
00066-000319,株式会社松永製作所,NEXT　CORE,NEXT-41B,5251,5820
00066-000320,株式会社松永製作所,NEXT　CORE,NEXT-51B,5895,6360
00066-000321,株式会社松永製作所,NEXT　CORE,NEXT-61B,5850,6300
00066-000322,株式会社松永製作所,エコールチェア・フィット自走,EL-C-FT101,5838,6270
00066-000323,株式会社松永製作所,エコールチェア・フィット介助,EL-C-FT201,5867,6280
00066-000324,株式会社松永製作所,NEXT　CORE,NEXT-10B,4512,5030
00066-000325,株式会社松永製作所,NEXT　CORE,NEXT-20B,4195,4610
